Alpha Aviation,\N,,APH, Inc.,AIRFLIGHT,N
ASA Pesada,\N,,API, Lda.,ASA PESADA,N
Air Print,\N,,APJ, S.A.,AIR PRINT,N
Atlantic Airlines,\N,,BJK,BLACKJACK,United States,N
Aerotransporte Petrolero,\N,,PET,AEROPETRO,Colombia,N
Aero Flight,\N,GV,ARF,Aero Fox,Germany,Y
ACM Aviation,\N,,BJT,BAY JET,United States,N
Aircompany Barcol,\N,,BKL,BARCOL,Russia,N
All Charter Limited,\N,,BLA,ALL CHARTER,United Kingdom,N
Appalachian Flying Service,\N,,APL, Inc.,APPALACHIAN,N
Airpac,\N,,APM, Inc.,ALASKA PACIFIC,N
Aeropro,\N,,APO,AEROPRO,Canada,N
Aerolineas Pacifico Atlantico,\N,,APP, S.A. (Apair),AEROPERLAS,N
Aspen Aviation,\N,,APQ,ASPEN BASE,United States,N
Aeropuma,\N,,APU, S.A.,AEROPUMA,N
Air Plan International,\N,,APV,AIR PLAN,Democratic Republic of the Congo,N
Arrow Air,\N,JW,APW,BIG A,United States,Y
Apex Air Cargo,\N,,APX,PARCEL EXPRESS,United States,N
APA Internacional,\N,,APY,APA INTERNACIONAL,Dominican Republic,N
Aeroatlas,\N,,AQA, S.A.,ATCO,N
Aquila Air Ltd.,\N,,AQL,AQUILA,Canada,N
Air Queensland,\N,,AQN,BUSHAIR,Australia,N
Aluminum Company Of America,\N,,AQO,ALCOA SHUTTLE,United States,N
Aviones de Renta de Quintana Roo,\N,,AQT, S.A. de C.V.,AVIOQUINTANA,N
AirQuarius Aviation,\N,,AQU,QUARIUS,South Africa,N
Aerodyne Charter Company,\N,,AQZ,QUANZA,United States,N
Arik Air,\N,W3,ARA,ARIK AIR,Nigeria,N
Avia Air N.V.,\N,,ARB,AVIAIR,Aruba,N
Air Routing International Corp.,\N,,ARC, ,United States,N
Aerocondor,\N,2B,ARD,AEROCONDOR,Portugal,Y
Aires,\N,4C,ARE, Aerovias de Integracion Regional, S.A.,Y
Aerolineas Argentinas,\N,AR,ARG,ARGENTINA,Argentina,Y
Arrowhead Airways,\N,,ARH,ARROWHEAD,United States,N
Aero Vics,\N,,ARI,AEROVICS,Mexico,N
Aerojet de Costa Rica,\N,,ARJ, S.A.,,N
Antillana De Navegacion Aerea,\N,,SUN,,Dominican Republic,N
Aeroservicios De San Luis,\N,,SUO,SERVICIO SANLUIS,Mexico,N
Aerosuper,\N,,SUP,AEROSUPER,Mexico,N
Aero Link Air Services S.L.,\N,,ARK,LINK SERVICE,Spain,N
Airlec - Air Aquitaine Transport,\N,,ARL,AIRLEC,France,N
Aeromarket Express,\N,,ARM,AMEX,Spain,N
Arrow Aviation Ltd.,\N,,ARO,ARROW,Canada,N
RPA-Aviataxi Ltd.,\N,,ARP,,Russia,N
Air Klaipeda,\N,,KLD,AIR KLAIPEDA,Lithuania,N
Armstrong Air,\N,,ARQ, Inc.,ARMSTRONG,N
Air Armenia,\N,QN,ARR,AIR ARMENIA,Armenia,N
Aeromet Servicios,\N,,ARS,METSERVICE,Chile,N
Aerotal Aerolineas Territoriales de Colombia Ltda,\N,,ART,AEROTAL,Colombia,N
Aravco Ltd.,\N,,ARV,ARAVCO,United Kingdom,N
